2.1-2.3
2.10-1.9
2.10-2.15
2.10-3.9
2.11-1.10
2.11-2.13
2.11-2.7
2.12-1.12
2.12-2.15
2.12-3.10
2.13-2.10
2.14-2.2
2.14-3.3
2.15-2.10
2.15-2.12
2.15-2.9
2.2-2.14
2.3-2.1
2.3-2.4
2.3-2.6
2.4-2.14
2.4-2.3
2.4-2.9
2.5-1.5
2.5-3.4
2.6-2.3
2.6-2.7
2.7-2.11
2.7-2.6
2.7-2.8
2.8-1.14
2.8-2.7
2.8-2.9
2.8-3.6
2.9-2.15
2.9-2.4
2.9-2.8
1.1-1.2
1.10-1.13
1.10-2.11
1.11-1.12
1.11-1.8
1.12-1.11
1.12-2.12
1.13-2.13
1.14-2.8
1.2-1.1
1.2-1.3
1.2-1.6
1.3-1.2
1.3-1.4
1.4-1.3
1.4-1.7
1.4-2.14
1.5-1.6
1.6-1.10
1.6-1.14
1.6-1.2
1.6-1.5
1.7-1.14
1.7-1.4
1.7-1.8
1.8-1.11
1.8-1.9
1.9-1.8
1.9-2.10
3.1-3.2
3.1-3.5
3.10-3.8
3.2-3.1
3.2-3.3
3.3-2.14
3.3-3.2
3.3-3.7
3.4-2.5
3.5-3.1
3.5-3.4
3.6-2.8
3.6-3.5
3.6-3.7
3.7-3.3
3.7-3.6
3.7-3.8
3.8-3.10
3.8-3.7
3.8-3.9
3.8-3.9
3.9-2.10
3.9-3.8
